name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
discovery bay california,2022-06-15,33.6,14.6,23.3,31.3,14.6,22.6,7,40,0,0,0,,0,0,42.5,29.1,289.6,1011.1,0,16,204.8,17.7,9,10,2022-06-15T05:43:40,2022-06-15T20:30:28,0.54,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-06-16,27,12.8,19,26.3,12.8,18.9,6.9,48.1,0,0,0,,0,0,55.2,33,256.5,1010,1.5,16,214.7,18.5,10,10,2022-06-16T05:43:44,2022-06-16T20:30:48,0.58,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-17,21.7,13.1,16.5,21.7,13.1,16.5,7.1,55.3,0,0,0,,0,0,55.8,30.8,258.8,1011.4,23,16,213.4,18.3,10,10,2022-06-17T05:43:50,2022-06-17T20:31:07,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-18,23.5,11.3,17.3,23.5,11.3,17.3,7.2,55,0,0,0,,0,0,37.1,24.5,260.9,1014.2,8.6,16,179.8,15.3,10,10,2022-06-18T05:43:58,2022-06-18T20:31:25,0.65,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-19,29.1,10.6,20.2,27.6,10.6,19.9,7.4,48.8,0,0,0,,0,0,38.2,27.2,285.5,1016.7,0,16,190,16.3,9,10,2022-06-19T05:44:07,2022-06-19T20:31:41,0.68,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-20,33.4,14.1,23.9,31.1,14.1,23.2,7,38.9,0,0,0,,0,0,42.5,24,328.5,1014.5,0,16,170.5,14.5,9,10,2022-06-20T05:44:18,2022-06-20T20:31:55,0.75,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-21,38.9,15.7,28.1,35.9,15.7,26.8,4.6,26.6,0,0,0,,0,0,31.7,17.1,17.4,1010.7,0,16,180.4,15.6,8,10,2022-06-21T05:44:30,2022-06-21T20:32:08,0.75,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-22,34.5,19.1,27.1,32.5,19.1,26.4,8.2,31.6,0,0,0,,0,0,33.5,14.9,313.1,1010.3,2,16,155.6,13.4,8,30,2022-06-22T05:44:44,2022-06-22T20:32:19,0.78,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-23,36.8,19.5,27.6,35.1,19.5,26.8,9.6,36.3,0,0,0,,0,0,40.7,23.6,285.4,1010.1,0.8,16,290,25.3,8,10,2022-06-23T05:45:00,2022-06-23T20:32:28,0.82,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-06-24,37.6,17.8,26.9,35.3,17.8,26,8.6,35.2,0,0,0,,0,0,33.5,21.1,292,1009.5,0,16,307.5,26.7,8,10,2022-06-24T05:45:17,2022-06-24T20:32:35,0.85,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
