time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1668470400,42.06,14.1765,13.193,15.16
1672704000,71.585,7.928,6.725,9.131
1677024000,37.642,0.242,0.184,0.3
1669766400,39.455,7.002,6.195,7.809
1656979200,42.147,4.428,3.807,5.049
1678924800,45.34,2.031,1.639,2.423
1671148800,55.724,31.9495,29.3,34.599
1669939200,56.158,3.703,3.099,4.307
1676764800,37.761,13.113,12.022,14.204
1682812800,34.41,1.4415,1.162,1.721
1670198400,52.591,2.1755,1.808,2.543
1655164800,21.779,5.9715,5.619,6.324
1680480000,38.951,0.185,0.12,0.25
1656115200,27.472,4.207,4.148,4.266
1684713600,39.356,5.5735,5.103,6.044
1679270400,54.397,0.998,0.822,1.174
1666742400,36.612,2.067,1.744,2.39
1665187200,35.726,9.293,8.338,10.248
1681084800,41.434,3.987,3.399,4.575
1683158400,49.928,0.8375,0.534,1.141
1655424000,34.218,2.688,2.587,2.789
1657324800,33.225,1.5135,1.287,1.74
1685318400,40.395,5.9645,5.207,6.722
1667347200,47.7,0.4245,0.29,0.559
1666483200,29.561,0.408,0.368,0.448
1682208000,37.91,1.3715,1.162,1.581
1671321600,60.771,50.7045,46.23,55.179
1673395200,70.025,2.509,2.04,2.978
1675641600,49.803,0.6965,0.509,0.884
1661731200,38.008,12.7595,12.179,13.34
1666137600,31.388,9.488,9.025,9.951
1659398400,29.553,6.9795,6.281,7.678
1656288000,34.651,5.0225,4.386,5.659
1675036800,39.335,1.525,1.271,1.779
1669680000,41.008,1.045,0.759,1.331
1679011200,46.636,5.1345,4.529,5.74
1654905600,22.59,0.4105,0.333,0.488
1660262400,30.408,2.8935,2.607,3.18
1668038400,47.824,6.701,5.807,7.595
1664841600,42.719,7.186,6.497,7.875
1668988800,38.771,16.8705,15.769,17.972
1664064000,30.986,6.748,5.912,7.584
1682726400,35.816,2.565,2.061,3.069
1685491200,39.369,2.109,1.724,2.494
1664928000,42.736,10.2295,9.218,11.241
1669248000,44.918,35.5865,33.54,37.633
1671494400,55.872,45.7225,43.768,47.677
1666310400,37.595,16.066,15.545,16.587
1682553600,31.551,3.0745,2.507,3.642
1670544000,54.481,12.702,11.653,13.751
1664496000,32.543,1.3385,1.084,1.593
1655769600,18.893,3.0545,2.775,3.334
1678838400,56.433,1.043,0.799,1.287
1661472000,39.962,5.3665,4.737,5.996
1677628800,50.626,0.398,0.21,0.586
1684800000,36.222,5.7545,5.379,6.13
1663113600,40.993,11.4715,10.909,12.034
1663977600,34.149,6.111,5.121,7.101
1659830400,36.9,4.216,3.724,4.708
1663027200,38.108,6.246,5.918,6.574
1680220800,47.973,2.11,1.63,2.59
1661040000,34.801,6.0185,5.603,6.434
1682121600,33.565,0.9735,0.78,1.167
1680048000,66.354,6.896,5.989,7.803
1669161600,39.853,23.0015,21.764,24.239
1684886400,38.609,5.6465,5.32,5.973
1675123200,26.571,0.76,0.526,0.994
1657929600,28.061,6.9575,6.409,7.506
1665446400,39.428,12.7745,12.046,13.503
1672617600,47.554,1.4525,1.087,1.818
1672272000,65.671,5.2365,4.603,5.87
1663718400,42.146,1.99,1.548,2.432
1666828800,28.038,1.095,0.866,1.324
1685404800,40.35,1.131,0.779,1.483
1675728000,50.76,16.176,14.495,17.857
1680912000,52.011,1.122,0.814,1.43
1669420800,43.26,41.6085,40.358,42.859
1681516800,41.9,1.1825,0.918,1.447
1671926400,65.279,54.0665,50.865,57.268
1656892800,39.499,1.096,0.912,1.28
1660521600,29.903,15.7785,14.86,16.697
1670025600,62.365,19.5265,17.527,21.526
1663804800,40.124,1.8525,1.436,2.269
1654560000,29.146,1.884,1.673,2.095
1678147200,47.444,0.8155,0.58,1.051
1677283200,61.408,1.521,1.06,1.982
1683072000,52.414,2.4075,1.844,2.971
1666915200,31.421,2.303,1.872,2.734
1667001600,33.086,4.709,4.106,5.312
1681948800,34.529,3.8855,3.329,4.442
1660694400,27.053,19.6165,19.086,20.147
1657670400,38.219,2.506,2.097,2.915
1666569600,21.882,0.0435,0.032,0.055
1677974400,48.028,0.854,0.67,1.038
1670112000,63.907,6.7055,5.821,7.59
1674691200,48.335,33.8645,31.379,36.35
1678406400,72.14,5.4505,5.014,5.887
1661817600,35.285,17.6345,16.781,18.488
1661904000,35.557,16.8855,16.06,17.711
1681430400,38.007,1.8955,1.619,2.172
1674086400,60.505,6.8105,6.127,7.494
1668816000,27.808,6.403,5.833,6.973
1663459200,50.039,2.455,2.104,2.806
1665619200,44.806,10.189,9.749,10.629
1675555200,55.219,3.6595,3.306,4.013
1660780800,25.354,21.095,19.991,22.199
1666656000,30.453,2.348,2.029,2.667
1685577600,35.185,6.0865,5.712,6.461
1666396800,43.338,6.2575,6.121,6.394
1661212800,34.511,0.514,0.42,0.608
1661299200,35.253,3.809,3.417,4.201
1657152000,39.949,0.305,0.191,0.419
1656460800,22.795,2.0905,1.897,2.284
1684972800,40.517,5.152,4.658,5.646
1670284800,58.639,5.9745,5.265,6.684
1672358400,71.758,13.7085,12.274,15.143
1683417600,47.497,2.752,2.2,3.304
1675468800,63.539,24.912,23.316,26.508
1676505600,39.129,7.2855,6.364,8.207
1655078400,33.938,1.08,0.935,1.225
1654214400,32.343,0.696,0.608,0.784
1670889600,52.928,2.882,2.339,3.425
1672012800,67.978,34.261,31.32,37.202
1662422400,19.579,8.77,7.858,9.682
1676937600,43.339,14.564,13.438,15.69
1665705600,46.054,10.212,9.61,10.814
1677715200,34.406,0.1,0.044,0.156
1673049600,61.635,5.0905,4.433,5.748
1.67E+09,57.338,8.7245,7.686,9.763
